Conversation_no,Turn_no,QID,Question,Answer,Entity,Salience
9,1,9-1,Why is statistics important?,"The field of statistics is the science of learning from data. Statistical knowledge helps you use the proper methods to collect the data, employ the correct analyses, and effectively present the results.",Data,1.5
9,1,9-1,Why is statistics important?,"The field of statistics is the science of learning from data. Statistical knowledge helps you use the proper methods to collect the data, employ the correct analyses, and effectively present the results.",Analysis,1.0
9,1,9-1,Why is statistics important?,"The field of statistics is the science of learning from data. Statistical knowledge helps you use the proper methods to collect the data, employ the correct analyses, and effectively present the results.",Scientific method,1.0
13,3,13-3,What are tofus origins?,"Like many soya foods, tofu originated in China. Legend has it that it was discovered about 2000 years ago by a Chinese cook who accidentally curdled soy milk when he added nigari seaweed.",Soy milk,1.6666666666666667
13,3,13-3,What are tofus origins?,"Like many soya foods, tofu originated in China. Legend has it that it was discovered about 2000 years ago by a Chinese cook who accidentally curdled soy milk when he added nigari seaweed.",China,1.0
13,3,13-3,What are tofus origins?,"Like many soya foods, tofu originated in China. Legend has it that it was discovered about 2000 years ago by a Chinese cook who accidentally curdled soy milk when he added nigari seaweed.",Food,1.0
13,3,13-3,What are tofus origins?,"Like many soya foods, tofu originated in China. Legend has it that it was discovered about 2000 years ago by a Chinese cook who accidentally curdled soy milk when he added nigari seaweed.",Tofu,1.0
13,3,13-3,What are tofus origins?,"Like many soya foods, tofu originated in China. Legend has it that it was discovered about 2000 years ago by a Chinese cook who accidentally curdled soy milk when he added nigari seaweed.",Edible seaweed,0.6666666666666666
20,1,20-1,Describe cell membranes.,"The cell membrane (also known as the plasma membrane (PM) or cytoplasmic membrane, and historically referred to as the plasmalemma) is a biological membrane that separates the interior of all cells from the outside environment (the extracellular space) which protects the cell from its environment.",Natural environment,1.5
20,1,20-1,Describe cell membranes.,"The cell membrane (also known as the plasma membrane (PM) or cytoplasmic membrane, and historically referred to as the plasmalemma) is a biological membrane that separates the interior of all cells from the outside environment (the extracellular space) which protects the cell from its environment.",Extracellular,1.5
20,1,20-1,Describe cell membranes.,"The cell membrane (also known as the plasma membrane (PM) or cytoplasmic membrane, and historically referred to as the plasmalemma) is a biological membrane that separates the interior of all cells from the outside environment (the extracellular space) which protects the cell from its environment.",Cell (biology),1.25
20,1,20-1,Describe cell membranes.,"The cell membrane (also known as the plasma membrane (PM) or cytoplasmic membrane, and historically referred to as the plasmalemma) is a biological membrane that separates the interior of all cells from the outside environment (the extracellular space) which protects the cell from its environment.",Biological membrane,0.75
20,1,20-1,Describe cell membranes.,"The cell membrane (also known as the plasma membrane (PM) or cytoplasmic membrane, and historically referred to as the plasmalemma) is a biological membrane that separates the interior of all cells from the outside environment (the extracellular space) which protects the cell from its environment.",Cell membrane,1.5
28,2,28-2,What are the dangers of global warming?,"Effects that scientists had predicted in the past would result from global climate change are now occurring: loss of sea ice, accelerated sea level rise and longer, more intense heat waves.",Effects of global warming,1.75
28,2,28-2,What are the dangers of global warming?,"Effects that scientists had predicted in the past would result from global climate change are now occurring: loss of sea ice, accelerated sea level rise and longer, more intense heat waves.",Sea ice,0.75
28,2,28-2,What are the dangers of global warming?,"Effects that scientists had predicted in the past would result from global climate change are now occurring: loss of sea ice, accelerated sea level rise and longer, more intense heat waves.",Sea level rise,1.5
28,2,28-2,What are the dangers of global warming?,"Effects that scientists had predicted in the past would result from global climate change are now occurring: loss of sea ice, accelerated sea level rise and longer, more intense heat waves.",Habitat destruction,1.25
28,2,28-2,What are the dangers of global warming?,"Effects that scientists had predicted in the past would result from global climate change are now occurring: loss of sea ice, accelerated sea level rise and longer, more intense heat waves.",Heat wave,1.0
38,2,38-2,How do you get Lyme Disease?,"To contract Lyme disease, an infected deer tick must bite you. The bacteria enter your skin through the bite and eventually make their way into your bloodstream.",Tick,1.6666666666666667
38,2,38-2,How do you get Lyme Disease?,"To contract Lyme disease, an infected deer tick must bite you. The bacteria enter your skin through the bite and eventually make their way into your bloodstream.",Lyme disease,1.3333333333333333
38,2,38-2,How do you get Lyme Disease?,"To contract Lyme disease, an infected deer tick must bite you. The bacteria enter your skin through the bite and eventually make their way into your bloodstream.",Bacteria,1.6666666666666667
38,2,38-2,How do you get Lyme Disease?,"To contract Lyme disease, an infected deer tick must bite you. The bacteria enter your skin through the bite and eventually make their way into your bloodstream.",Circulatory system,1.6666666666666667
38,2,38-2,How do you get Lyme Disease?,"To contract Lyme disease, an infected deer tick must bite you. The bacteria enter your skin through the bite and eventually make their way into your bloodstream.",Skin,1.3333333333333333
57,3,57-3,What causes depression?,"Rather, there are many possible causes of depression, including faulty mood regulation by the brain, genetic vulnerability, stressful life events,",Depression (mood),1.75
57,3,57-3,What causes depression?,"Rather, there are many possible causes of depression, including faulty mood regulation by the brain, genetic vulnerability, stressful life events,",Vulnerability,1.25
57,3,57-3,What causes depression?,"Rather, there are many possible causes of depression, including faulty mood regulation by the brain, genetic vulnerability, stressful life events,",Brain,1.5
57,3,57-3,What causes depression?,"Rather, there are many possible causes of depression, including faulty mood regulation by the brain, genetic vulnerability, stressful life events,",Mood (psychology),1.75
57,3,57-3,What causes depression?,"Rather, there are many possible causes of depression, including faulty mood regulation by the brain, genetic vulnerability, stressful life events,",Causes of autism,1.25
62,2,62-2,What are characteristics of the Surrealism movement?,"Surrealistic art is characterized by dream-like visuals, the use of symbolism, and collage images.",Art,1.3333333333333333
62,2,62-2,What are characteristics of the Surrealism movement?,"Surrealistic art is characterized by dream-like visuals, the use of symbolism, and collage images.",Visual arts,1.3333333333333333
62,2,62-2,What are characteristics of the Surrealism movement?,"Surrealistic art is characterized by dream-like visuals, the use of symbolism, and collage images.",Collage,1.3333333333333333
62,2,62-2,What are characteristics of the Surrealism movement?,"Surrealistic art is characterized by dream-like visuals, the use of symbolism, and collage images.",Dream,1.3333333333333333
62,2,62-2,What are characteristics of the Surrealism movement?,"Surrealistic art is characterized by dream-like visuals, the use of symbolism, and collage images.",Symbolism (arts),1.0
64,2,64-2,What are baby back pork ribs?,"Baby back ribs (also back ribs or loin ribs) are taken from the top of the rib cage between the spine and the spare ribs, below the loin muscle.",Pork ribs,1.25
64,2,64-2,What are baby back pork ribs?,"Baby back ribs (also back ribs or loin ribs) are taken from the top of the rib cage between the spine and the spare ribs, below the loin muscle.",Spare ribs,1.0
64,2,64-2,What are baby back pork ribs?,"Baby back ribs (also back ribs or loin ribs) are taken from the top of the rib cage between the spine and the spare ribs, below the loin muscle.",Pork loin,0.5
64,2,64-2,What are baby back pork ribs?,"Baby back ribs (also back ribs or loin ribs) are taken from the top of the rib cage between the spine and the spare ribs, below the loin muscle.",Rib,1.75
64,2,64-2,What are baby back pork ribs?,"Baby back ribs (also back ribs or loin ribs) are taken from the top of the rib cage between the spine and the spare ribs, below the loin muscle.",Rib cage,1.5
184,2,184-2,Are there any other interesting aspects about the Hansie Cronje article besides his first-class debut?,"Hansie Cronje earned an international call up for the 1992 World Cup, making his One Day International debut against Australia at Sydney.",Hansie Cronje,1.5
184,2,184-2,Are there any other interesting aspects about the Hansie Cronje article besides his first-class debut?,"Hansie Cronje earned an international call up for the 1992 World Cup, making his One Day International debut against Australia at Sydney.",Sydney,1.5
184,2,184-2,Are there any other interesting aspects about the Hansie Cronje article besides his first-class debut?,"Hansie Cronje earned an international call up for the 1992 World Cup, making his One Day International debut against Australia at Sydney.",1992 Cricket World Cup,1.5
184,2,184-2,Are there any other interesting aspects about the Hansie Cronje article besides his first-class debut?,"Hansie Cronje earned an international call up for the 1992 World Cup, making his One Day International debut against Australia at Sydney.",One Day International,1.25
184,2,184-2,Are there any other interesting aspects about the Hansie Cronje article besides his first-class debut?,"Hansie Cronje earned an international call up for the 1992 World Cup, making his One Day International debut against Australia at Sydney.",Australia national cricket team,1.75
1996,3,1996-3,what are the principles of the convention on the rights of the child,"Non-discrimination; devotion to the best interests of the child; the right to life, survival and development; and respect for the views of the child.",Morality,1.3333333333333333
1996,3,1996-3,what are the principles of the convention on the rights of the child,"Non-discrimination; devotion to the best interests of the child; the right to life, survival and development; and respect for the views of the child.",Social change,1.6666666666666667
1996,3,1996-3,what are the principles of the convention on the rights of the child,"Non-discrimination; devotion to the best interests of the child; the right to life, survival and development; and respect for the views of the child.",Discrimination,2.0
1996,3,1996-3,what are the principles of the convention on the rights of the child,"Non-discrimination; devotion to the best interests of the child; the right to life, survival and development; and respect for the views of the child.",Respect,1.3333333333333333
1996,3,1996-3,what are the principles of the convention on the rights of the child,"Non-discrimination; devotion to the best interests of the child; the right to life, survival and development; and respect for the views of the child.",Life,1.3333333333333333
2574,1,2574-1,who wrote that's what i like bruno mars,"Thats What I Like was written by Bruno Mars, Philip Lawrence, Christopher Brody Brown, James Fauntleroy, Johnathan Yip, Ray Romulus, Jeremy Reeves, and Ray McCullough II.",The Smeezingtons,1.5
2574,1,2574-1,who wrote that's what i like bruno mars,"Thats What I Like was written by Bruno Mars, Philip Lawrence, Christopher Brody Brown, James Fauntleroy, Johnathan Yip, Ray Romulus, Jeremy Reeves, and Ray McCullough II.",Kimberly McCullough,2.0
2574,1,2574-1,who wrote that's what i like bruno mars,"Thats What I Like was written by Bruno Mars, Philip Lawrence, Christopher Brody Brown, James Fauntleroy, Johnathan Yip, Ray Romulus, Jeremy Reeves, and Ray McCullough II.",The Stereotypes,1.5
2574,1,2574-1,who wrote that's what i like bruno mars,"Thats What I Like was written by Bruno Mars, Philip Lawrence, Christopher Brody Brown, James Fauntleroy, Johnathan Yip, Ray Romulus, Jeremy Reeves, and Ray McCullough II.",James Fauntleroy,1.5
2574,1,2574-1,who wrote that's what i like bruno mars,"Thats What I Like was written by Bruno Mars, Philip Lawrence, Christopher Brody Brown, James Fauntleroy, Johnathan Yip, Ray Romulus, Jeremy Reeves, and Ray McCullough II.",Bruno Mars,0.5
2647,1,2647-1,whats at the end of the yellow brick road,The Yellow brick road in the 1900 childrens novel The Wonderful Wizard of Oz leads Dorothy to Emerald City.,Children's literature,1.3333333333333333
2647,1,2647-1,whats at the end of the yellow brick road,The Yellow brick road in the 1900 childrens novel The Wonderful Wizard of Oz leads Dorothy to Emerald City.,Emerald City,1.3333333333333333
2647,1,2647-1,whats at the end of the yellow brick road,The Yellow brick road in the 1900 childrens novel The Wonderful Wizard of Oz leads Dorothy to Emerald City.,Yellow brick road,1.0
2647,1,2647-1,whats at the end of the yellow brick road,The Yellow brick road in the 1900 childrens novel The Wonderful Wizard of Oz leads Dorothy to Emerald City.,Dorothy Gale,1.0
2647,1,2647-1,whats at the end of the yellow brick road,The Yellow brick road in the 1900 childrens novel The Wonderful Wizard of Oz leads Dorothy to Emerald City.,The Wonderful Wizard of Oz,0.6666666666666666
10,3,10-3,Why isn't the bottom of the ocean frozen?,"Once frozen, the ice insulates the water at the bottom from cooling so its temperature is maintained between 0 and almost 4°C, keeping it from freezing.",Ice,1.3333333333333333
10,3,10-3,Why isn't the bottom of the ocean frozen?,"Once frozen, the ice insulates the water at the bottom from cooling so its temperature is maintained between 0 and almost 4°C, keeping it from freezing.",Temperature,1.3333333333333333
13,1,13-1,What is tofu exactly?,"Made from soybeans, tofu is also known as bean curd.",Soybean,2.0
13,1,13-1,What is tofu exactly?,"Made from soybeans, tofu is also known as bean curd.",Tofu,1.3333333333333333
58,1,58-1,What is a real-time database?,A real-time database is a database system which uses real-time processing to handle workloads whose state is constantly changing.,Process (computing),1.6666666666666667
58,1,58-1,What is a real-time database?,A real-time database is a database system which uses real-time processing to handle workloads whose state is constantly changing.,State (computer science),1.0
80,3,80-3,What were the diplomatic objectives of the Lewis and Clark expedition?,"Their mission was to explore the unknown territory, establish trade with the Natives and affirm the sovereignty of the United States in the region.",Sovereignty,1.3333333333333333
80,3,80-3,What were the diplomatic objectives of the Lewis and Clark expedition?,"Their mission was to explore the unknown territory, establish trade with the Natives and affirm the sovereignty of the United States in the region.",Middle East,1.0
1424,1,1424-1,When did Tori Amos release a live album?,"Amos released a live album From Russia With Love in December, recorded in Moscow on September 3, 2010.",Love (band),1.25
1424,1,1424-1,When did Tori Amos release a live album?,"Amos released a live album From Russia With Love in December, recorded in Moscow on September 3, 2010.",Russia,1.0
1424,3,1424-3,Why did Tori Amos end her contract with Epic Records?,"Due to creative and financial disagreements with Epic Records, Tori Amos negotiated an end to her contract with the record label.",Record label,1.5
1424,3,1424-3,Why did Tori Amos end her contract with Epic Records?,"Due to creative and financial disagreements with Epic Records, Tori Amos negotiated an end to her contract with the record label.",Tori Amos,1.5
2187,2,2187-2,Why was Sisyphus punished to push the rock up the hill,Sisyphus was punished for his self-aggrandizing craftiness and deceitfulness.,Sisyphus,2.0
2187,2,2187-2,Why was Sisyphus punished to push the rock up the hill,Sisyphus was punished for his self-aggrandizing craftiness and deceitfulness.,Deception,1.0
2187,3,2187-3,What person chose Sisyphus's punishment of pushing the rock up the hill,Zeus made King Sisyphus roll a huge boulder endlessly up a steep hill.,Zeus,2.0
2187,3,2187-3,What person chose Sisyphus's punishment of pushing the rock up the hill,Zeus made King Sisyphus roll a huge boulder endlessly up a steep hill.,Sisyphus,2.0
2209,1,2209-1,when does lab rats elite force come out,"The Lab Rats: Elite Force which premiered on March 6, 2016, will not be coming back according to a comment in twitter by actress Kelli Berglund on October, 2016..",Twitter,1.5
2209,1,2209-1,when does lab rats elite force come out,"The Lab Rats: Elite Force which premiered on March 6, 2016, will not be coming back according to a comment in twitter by actress Kelli Berglund on October, 2016..",Lab Rats: Elite Force,1.5
2209,2,2209-2,Who created the show Lab Rats: Elite Force,Lab Rats: Elite Force is an American comedy television series created by Chris Peterson and Bryan Moore.,Get a Life (TV series),1.3333333333333333
2209,2,2209-2,Who created the show Lab Rats: Elite Force,Lab Rats: Elite Force is an American comedy television series created by Chris Peterson and Bryan Moore.,Lab Rats (U.S. TV series),1.6666666666666667
2250,1,2250-1,who introduced four c model of creativity,James C. Kaufman and Beghetto introduced a four C model of creativity.,Creativity,1.0
2250,1,2250-1,who introduced four c model of creativity,James C. Kaufman and Beghetto introduced a four C model of creativity.,James C. Kaufman,2.0
2560,1,2560-1,can you have an account with the bank of england,Members of the public cannot open a bank account with the Bank of England.,Bank account,2.0
2560,1,2560-1,can you have an account with the bank of england,Members of the public cannot open a bank account with the Bank of England.,Bank of England,2.0
2647,2,2647-2,who wrote the wonderful wizard of oz,The Wonderful Wizard of Oz is an American childrens novel written by author L. Frank Baum.,L. Frank Baum,2.0
2647,2,2647-2,who wrote the wonderful wizard of oz,The Wonderful Wizard of Oz is an American childrens novel written by author L. Frank Baum.,The Wonderful Wizard of Oz,2.0
2647,3,2647-3,where else does the yellow brick road appear besides the wizard of oz,The road also appears in the several sequel Oz books such as The Marvelous Land of Oz (1904) and The Patchwork Girl of Oz (1913).,The Road,1.6666666666666667
2647,3,2647-3,where else does the yellow brick road appear besides the wizard of oz,The road also appears in the several sequel Oz books such as The Marvelous Land of Oz (1904) and The Patchwork Girl of Oz (1913).,The Marvelous Land of Oz,0.6666666666666666
2655,2,2655-2,why is snow used for igloos,Snow is used for igloos because the air pockets trapped in it make it an insulator.,Thermal insulation,1.6666666666666667
2655,2,2655-2,why is snow used for igloos,Snow is used for igloos because the air pockets trapped in it make it an insulator.,Vertical draft,1.0
2723,1,2723-1,who has home field advantage in the world series,The Houston Astros had home-field advantage for the 2019 World series.,World Series,1.3333333333333333
2723,1,2723-1,who has home field advantage in the world series,The Houston Astros had home-field advantage for the 2019 World series.,Houston Astros,1.6666666666666667
2746,1,2746-1,Who crossed the alps and invaded italy with an army of elephants during the second punic war,Hannibal made his famous military exploit of carrying war to Italy by crossing the Alps with his African elephants.,Hannibal,2.0
2746,1,2746-1,Who crossed the alps and invaded italy with an army of elephants during the second punic war,Hannibal made his famous military exploit of carrying war to Italy by crossing the Alps with his African elephants.,Africa,1.5
1,2,1-2,What are the educational requirements required to become a physician's assistant?,"Complete your bachelors degree (a science or healthcare related major is usually best); Gain experience either working or volunteering in a healthcare setting; Apply to ARC-PA accredited physician assistant programs; Complete a 2-3 year, masters level PA program;",Health care,1.6666666666666667
1,2,1-2,What are the educational requirements required to become a physician's assistant?,"Complete your bachelors degree (a science or healthcare related major is usually best); Gain experience either working or volunteering in a healthcare setting; Apply to ARC-PA accredited physician assistant programs; Complete a 2-3 year, masters level PA program;",Australian Research Council,1.0
1,2,1-2,What are the educational requirements required to become a physician's assistant?,"Complete your bachelors degree (a science or healthcare related major is usually best); Gain experience either working or volunteering in a healthcare setting; Apply to ARC-PA accredited physician assistant programs; Complete a 2-3 year, masters level PA program;",Major (academic),1.3333333333333333
1,2,1-2,What are the educational requirements required to become a physician's assistant?,"Complete your bachelors degree (a science or healthcare related major is usually best); Gain experience either working or volunteering in a healthcare setting; Apply to ARC-PA accredited physician assistant programs; Complete a 2-3 year, masters level PA program;",Bachelor's degree,1.0
1,2,1-2,What are the educational requirements required to become a physician's assistant?,"Complete your bachelors degree (a science or healthcare related major is usually best); Gain experience either working or volunteering in a healthcare setting; Apply to ARC-PA accredited physician assistant programs; Complete a 2-3 year, masters level PA program;",Experience,1.3333333333333333
1,3,1-3,What does it cost to become a physician's assistant?,"Average Cost Across all PA Schools for the 2017 Application Cycle is as Follows: Average cost of resident tuition for a 27-month physician assistant program is: $71,369. Average cost of non-resident tuition for a 27-month physician assistant program is: $89,975.",Residency (medicine),1.6666666666666667
1,3,1-3,What does it cost to become a physician's assistant?,"Average Cost Across all PA Schools for the 2017 Application Cycle is as Follows: Average cost of resident tuition for a 27-month physician assistant program is: $71,369. Average cost of non-resident tuition for a 27-month physician assistant program is: $89,975.",Tuition payments,1.6666666666666667
1,3,1-3,What does it cost to become a physician's assistant?,"Average Cost Across all PA Schools for the 2017 Application Cycle is as Follows: Average cost of resident tuition for a 27-month physician assistant program is: $71,369. Average cost of non-resident tuition for a 27-month physician assistant program is: $89,975.",Physician assistant,1.3333333333333333
3,1,3-1,Tell me about the types of irregular heart beat.,"Atrial fibrillation is a very common irregular heart rhythm that causes the atria, the upper chambers of the heart, to contract abnormally. Atrial flutter. This is an arrhythmia caused by one or more rapid circuits in the atrium.",Heart,1.3333333333333333
3,1,3-1,Tell me about the types of irregular heart beat.,"Atrial fibrillation is a very common irregular heart rhythm that causes the atria, the upper chambers of the heart, to contract abnormally. Atrial flutter. This is an arrhythmia caused by one or more rapid circuits in the atrium.",Cardiac arrhythmia,1.6666666666666667
3,1,3-1,Tell me about the types of irregular heart beat.,"Atrial fibrillation is a very common irregular heart rhythm that causes the atria, the upper chambers of the heart, to contract abnormally. Atrial flutter. This is an arrhythmia caused by one or more rapid circuits in the atrium.",Atrium (heart),1.3333333333333333
3,1,3-1,Tell me about the types of irregular heart beat.,"Atrial fibrillation is a very common irregular heart rhythm that causes the atria, the upper chambers of the heart, to contract abnormally. Atrial flutter. This is an arrhythmia caused by one or more rapid circuits in the atrium.",Atrial flutter,1.3333333333333333
3,1,3-1,Tell me about the types of irregular heart beat.,"Atrial fibrillation is a very common irregular heart rhythm that causes the atria, the upper chambers of the heart, to contract abnormally. Atrial flutter. This is an arrhythmia caused by one or more rapid circuits in the atrium.",Atrial fibrillation,1.0
3,2,3-2,How serious is an irregular heart beat?,"Coronary artery disease can cause dangerous arrhythmias like atrial fibrillation, or AFib. Its a rapid, quivering heartbeat that can lead to heart palpitations, blood clots, heart attack and stroke.",Thrombus,0.0
3,2,3-2,How serious is an irregular heart beat?,"Coronary artery disease can cause dangerous arrhythmias like atrial fibrillation, or AFib. Its a rapid, quivering heartbeat that can lead to heart palpitations, blood clots, heart attack and stroke.",Atrial fibrillation,1.0
3,2,3-2,How serious is an irregular heart beat?,"Coronary artery disease can cause dangerous arrhythmias like atrial fibrillation, or AFib. Its a rapid, quivering heartbeat that can lead to heart palpitations, blood clots, heart attack and stroke.",Heart rate,1.0
3,2,3-2,How serious is an irregular heart beat?,"Coronary artery disease can cause dangerous arrhythmias like atrial fibrillation, or AFib. Its a rapid, quivering heartbeat that can lead to heart palpitations, blood clots, heart attack and stroke.",Myocardial infarction,1.0
3,2,3-2,How serious is an irregular heart beat?,"Coronary artery disease can cause dangerous arrhythmias like atrial fibrillation, or AFib. Its a rapid, quivering heartbeat that can lead to heart palpitations, blood clots, heart attack and stroke.",Stroke,1.0
3,3,3-3,What are the different types of tachycardia?,"Atrial fibrillation. Atrial fibrillation is a rapid heart rate caused by chaotic, irregular electrical impulses in the upper chambers of the heart (atria). ...Atrial flutter. ...Supraventricular tachycardia (SVT). ...Ventricular tachycardia. ...Ventricular fibrillation.",Heart,1.0
3,3,3-3,What are the different types of tachycardia?,"Atrial fibrillation. Atrial fibrillation is a rapid heart rate caused by chaotic, irregular electrical impulses in the upper chambers of the heart (atria). ...Atrial flutter. ...Supraventricular tachycardia (SVT). ...Ventricular tachycardia. ...Ventricular fibrillation.",Atrium (heart),2.0
3,3,3-3,What are the different types of tachycardia?,"Atrial fibrillation. Atrial fibrillation is a rapid heart rate caused by chaotic, irregular electrical impulses in the upper chambers of the heart (atria). ...Atrial flutter. ...Supraventricular tachycardia (SVT). ...Ventricular tachycardia. ...Ventricular fibrillation.",Ventricular tachycardia,2.0
3,3,3-3,What are the different types of tachycardia?,"Atrial fibrillation. Atrial fibrillation is a rapid heart rate caused by chaotic, irregular electrical impulses in the upper chambers of the heart (atria). ...Atrial flutter. ...Supraventricular tachycardia (SVT). ...Ventricular tachycardia. ...Ventricular fibrillation.",Atrial fibrillation,1.0
3,3,3-3,What are the different types of tachycardia?,"Atrial fibrillation. Atrial fibrillation is a rapid heart rate caused by chaotic, irregular electrical impulses in the upper chambers of the heart (atria). ...Atrial flutter. ...Supraventricular tachycardia (SVT). ...Ventricular tachycardia. ...Ventricular fibrillation.",Tachycardia,1.0
6,2,6-2,What did Plessy v. Ferguson establish?,Plessy v. Ferguson was a landmark 1896 U.S. Supreme Court decision that upheld the constitutionality of racial segregation under the “separate but equal” doctrine. The case stemmed from an 1892 incident in which African-American train passenger Homer Plessy refused to sit in a car for blacks.,Plessy v. Ferguson,1.75
6,2,6-2,What did Plessy v. Ferguson establish?,Plessy v. Ferguson was a landmark 1896 U.S. Supreme Court decision that upheld the constitutionality of racial segregation under the “separate but equal” doctrine. The case stemmed from an 1892 incident in which African-American train passenger Homer Plessy refused to sit in a car for blacks.,Constitutionality,1.25
6,2,6-2,What did Plessy v. Ferguson establish?,Plessy v. Ferguson was a landmark 1896 U.S. Supreme Court decision that upheld the constitutionality of racial segregation under the “separate but equal” doctrine. The case stemmed from an 1892 incident in which African-American train passenger Homer Plessy refused to sit in a car for blacks.,African Americans,1.25
6,2,6-2,What did Plessy v. Ferguson establish?,Plessy v. Ferguson was a landmark 1896 U.S. Supreme Court decision that upheld the constitutionality of racial segregation under the “separate but equal” doctrine. The case stemmed from an 1892 incident in which African-American train passenger Homer Plessy refused to sit in a car for blacks.,Legal doctrine,1.25
6,2,6-2,What did Plessy v. Ferguson establish?,Plessy v. Ferguson was a landmark 1896 U.S. Supreme Court decision that upheld the constitutionality of racial segregation under the “separate but equal” doctrine. The case stemmed from an 1892 incident in which African-American train passenger Homer Plessy refused to sit in a car for blacks.,Racial segregation,1.25
6,3,6-3,What did the Marbury vs Madison case establish?,The U.S. Supreme Court case Marbury v. Madison (1803) established the principle of judicial review—the power of the federal courts to declare legislative and executive acts unconstitutional. The unanimous opinion was written by Chief Justice John Marshall.,John Marshall,1.0
6,3,6-3,What did the Marbury vs Madison case establish?,The U.S. Supreme Court case Marbury v. Madison (1803) established the principle of judicial review—the power of the federal courts to declare legislative and executive acts unconstitutional. The unanimous opinion was written by Chief Justice John Marshall.,Majority opinion,1.0
6,3,6-3,What did the Marbury vs Madison case establish?,The U.S. Supreme Court case Marbury v. Madison (1803) established the principle of judicial review—the power of the federal courts to declare legislative and executive acts unconstitutional. The unanimous opinion was written by Chief Justice John Marshall.,Federal judiciary of the United States,1.3333333333333333
6,3,6-3,What did the Marbury vs Madison case establish?,The U.S. Supreme Court case Marbury v. Madison (1803) established the principle of judicial review—the power of the federal courts to declare legislative and executive acts unconstitutional. The unanimous opinion was written by Chief Justice John Marshall.,Judicial review,1.0
6,3,6-3,What did the Marbury vs Madison case establish?,The U.S. Supreme Court case Marbury v. Madison (1803) established the principle of judicial review—the power of the federal courts to declare legislative and executive acts unconstitutional. The unanimous opinion was written by Chief Justice John Marshall.,Marbury v. Madison,1.6666666666666667
9,2,9-2,Why should one study statistics?,"To summarize, the five reasons to study statistics are to be able to effectively conduct research, to be able to read and evaluate journal articles, to further develop critical thinking and analytic skills, to act a an informed consumer, and to know when you need to hire outside statistical help.",Reason,1.5
9,2,9-2,Why should one study statistics?,"To summarize, the five reasons to study statistics are to be able to effectively conduct research, to be able to read and evaluate journal articles, to further develop critical thinking and analytic skills, to act a an informed consumer, and to know when you need to hire outside statistical help.",Consumer,1.75
9,2,9-2,Why should one study statistics?,"To summarize, the five reasons to study statistics are to be able to effectively conduct research, to be able to read and evaluate journal articles, to further develop critical thinking and analytic skills, to act a an informed consumer, and to know when you need to hire outside statistical help.",Academic journal,0.75
9,2,9-2,Why should one study statistics?,"To summarize, the five reasons to study statistics are to be able to effectively conduct research, to be able to read and evaluate journal articles, to further develop critical thinking and analytic skills, to act a an informed consumer, and to know when you need to hire outside statistical help.",Critical thinking,1.5
