QID,Question,Input.answer_1,Input.answer_2,Input.answer_3,Input.top_N,Preference,Answer.reason
30-3,How does Linux compare to Windows?,Linux has access to source code and alters the code as per user need whereas Windows does not have access to source code. Linux will run faster than windows latest editions even with a modern desktop environment and features of the operating system whereas windows are slow on older hardware.,Linux has access to source code (collection of computer instructions written using some human-readable computer language) and alters the code as per user need whereas Windows does not have access to source code. Linux will run faster than windows latest editions even with a modern desktop environment and features of the operating system whereas windows are slow on older hardware.,"Linux has access to source code and alters the code as per user need whereas Windows does not have access to source code. Linux will run faster than windows latest editions even with a modern desktop environment and features of the operating system whereas windows are slow on older hardware. If you would like to learn more about source code, feel free to ask!",top_1,wikibase,Seems to explain Linux better
30-3,How does Linux compare to Windows?,Linux has access to source code and alters the code as per user need whereas Windows does not have access to source code. Linux will run faster than windows latest editions even with a modern desktop environment and features of the operating system whereas windows are slow on older hardware.,Linux has access to source code (collection of computer instructions written using some human-readable computer language) and alters the code as per user need whereas Windows does not have access to source code. Linux will run faster than windows latest editions even with a modern desktop environment and features of the operating system whereas windows are slow on older hardware.,"Linux has access to source code and alters the code as per user need whereas Windows does not have access to source code. Linux will run faster than windows latest editions even with a modern desktop environment and features of the operating system whereas windows are slow on older hardware. If you would like to learn more about source code, feel free to ask!",top_1,wikibase,the answer is easy and perfect answer for this  question.
19-1,What is chemical energy?,"Chemical energy is the potential of a chemical substance to undergo a transformation through a chemical reaction to transform other chemical substances. Examples include batteries, food (any substance consumed to provide nutritional support for the body; form of energy stored in chemical), gasoline, and etc.","Chemical energy is the potential of a chemical substance to undergo a transformation through a chemical reaction to transform other chemical substances. Examples include batteries, food, gasoline, and etc.","Chemical energy is the potential of a chemical substance to undergo a transformation through a chemical reaction to transform other chemical substances. Examples include batteries, food, gasoline, and etc. If you would like to learn more about food, feel free to ask!",top_1,original,everyone needs this kind what would we ever do without batteries.
19-1,What is chemical energy?,"Chemical energy is the potential of a chemical substance to undergo a transformation through a chemical reaction to transform other chemical substances. Examples include batteries, food (any substance consumed to provide nutritional support for the body; form of energy stored in chemical), gasoline, and etc.","Chemical energy is the potential of a chemical substance to undergo a transformation through a chemical reaction to transform other chemical substances. Examples include batteries, food, gasoline, and etc.","Chemical energy is the potential of a chemical substance to undergo a transformation through a chemical reaction to transform other chemical substances. Examples include batteries, food, gasoline, and etc. If you would like to learn more about food, feel free to ask!",top_1,wikibase,the topic is very familiar for me and i have some knowledge about chemical energy so i choose this option
19-1,What is chemical energy?,"Chemical energy is the potential of a chemical substance to undergo a transformation through a chemical reaction to transform other chemical substances. Examples include batteries, food (any substance consumed to provide nutritional support for the body; form of energy stored in chemical), gasoline, and etc.","Chemical energy is the potential of a chemical substance to undergo a transformation through a chemical reaction to transform other chemical substances. Examples include batteries, food, gasoline, and etc.","Chemical energy is the potential of a chemical substance to undergo a transformation through a chemical reaction to transform other chemical substances. Examples include batteries, food, gasoline, and etc. If you would like to learn more about food, feel free to ask!",top_1,original,I know chemical energy definition and option 2 is precisely and to the points. I know this so I don't need any additional information.
58-2,How does a real-time database differ from traditional databases?,"A real-time database is a database system which uses real-time processing (particular execution of a computer program) to handle workloads whose state (set of instantaneous values of all variables to which a system or computer program has access) is constantly changing. This differs from traditional databases containing persistent data, mostly unaffected by time (dimension in which events can be ordered from the past through the present into the future).","A real-time database is a database system which uses real-time processing to handle workloads whose state is constantly changing. This differs from traditional databases containing persistent data, mostly unaffected by time. If you would like to learn more about state (computer science), process (computing) or time, feel free to ask!","A real-time database is a database system which uses real-time processing to handle workloads whose state is constantly changing. This differs from traditional databases containing persistent data, mostly unaffected by time.",top_3,wikibase,Explains what a database does and gives way better and more in depth answers.
58-2,How does a real-time database differ from traditional databases?,"A real-time database is a database system which uses real-time processing (particular execution of a computer program) to handle workloads whose state (set of instantaneous values of all variables to which a system or computer program has access) is constantly changing. This differs from traditional databases containing persistent data, mostly unaffected by time (dimension in which events can be ordered from the past through the present into the future).","A real-time database is a database system which uses real-time processing to handle workloads whose state is constantly changing. This differs from traditional databases containing persistent data, mostly unaffected by time. If you would like to learn more about state (computer science), process (computing) or time, feel free to ask!","A real-time database is a database system which uses real-time processing to handle workloads whose state is constantly changing. This differs from traditional databases containing persistent data, mostly unaffected by time.",top_3,original,I thought it is correct
58-2,How does a real-time database differ from traditional databases?,"A real-time database is a database system which uses real-time processing (particular execution of a computer program) to handle workloads whose state (set of instantaneous values of all variables to which a system or computer program has access) is constantly changing. This differs from traditional databases containing persistent data, mostly unaffected by time (dimension in which events can be ordered from the past through the present into the future).","A real-time database is a database system which uses real-time processing to handle workloads whose state is constantly changing. This differs from traditional databases containing persistent data, mostly unaffected by time. If you would like to learn more about state (computer science), process (computing) or time, feel free to ask!","A real-time database is a database system which uses real-time processing to handle workloads whose state is constantly changing. This differs from traditional databases containing persistent data, mostly unaffected by time.",top_3,original,I felt it was short and to the point. was concise as well
20-3,Tell me about the phospholipid bilayer.,The lipid bilayer is a thin polar membrane made of two layers of lipid molecules. These membranes are flat sheets that form a continuous barrier around all cells.,The lipid bilayer is a thin polar membrane made of two layers of lipid molecules (class of nonpolar substances including those of biological and artificial origin). These membranes are flat sheets that form a continuous barrier around all cells.,"The lipid bilayer is a thin polar membrane made of two layers of lipid molecules. These membranes are flat sheets that form a continuous barrier around all cells. If you would like to learn more about lipid, feel free to ask!",top_1,prompt,I like that at the end of the answer it left the conversation open for more questions.
20-3,Tell me about the phospholipid bilayer.,The lipid bilayer is a thin polar membrane made of two layers of lipid molecules. These membranes are flat sheets that form a continuous barrier around all cells.,The lipid bilayer is a thin polar membrane made of two layers of lipid molecules (class of nonpolar substances including those of biological and artificial origin). These membranes are flat sheets that form a continuous barrier around all cells.,"The lipid bilayer is a thin polar membrane made of two layers of lipid molecules. These membranes are flat sheets that form a continuous barrier around all cells. If you would like to learn more about lipid, feel free to ask!",top_1,original,Answer_1 have a exact answer. Clear and short.
20-3,Tell me about the phospholipid bilayer.,The lipid bilayer is a thin polar membrane made of two layers of lipid molecules. These membranes are flat sheets that form a continuous barrier around all cells.,The lipid bilayer is a thin polar membrane made of two layers of lipid molecules (class of nonpolar substances including those of biological and artificial origin). These membranes are flat sheets that form a continuous barrier around all cells.,"The lipid bilayer is a thin polar membrane made of two layers of lipid molecules. These membranes are flat sheets that form a continuous barrier around all cells. If you would like to learn more about lipid, feel free to ask!",top_1,original,Explanation 2 gives a more candid response as compared to other responses
184-2,Are there any other interesting aspects about the Hansie Cronje article besides his first-class debut?,"Hansie Cronje (former South-African Cricketer (1969-2002)) earned an international call up for the 1992 World Cup (Cricket World Cup), making his One Day International debut against Australia at Sydney (capital city of New South Wales, Australia).","Hansie Cronje earned an international call up for the 1992 World Cup, making his One Day International debut against Australia at Sydney.","Hansie Cronje earned an international call up for the 1992 World Cup, making his One Day International debut against Australia at Sydney. If you would like to learn more about sydney, 1992 cricket world cup or hansie cronje, feel free to ask!",top_3,original,"I feel this answer is best for being concise. Someone asking this question likely already knows that Cronje is a cricketer and where he comes from, and the location of Sydney is not really important for this question."
184-2,Are there any other interesting aspects about the Hansie Cronje article besides his first-class debut?,"Hansie Cronje (former South-African Cricketer (1969-2002)) earned an international call up for the 1992 World Cup (Cricket World Cup), making his One Day International debut against Australia at Sydney (capital city of New South Wales, Australia).","Hansie Cronje earned an international call up for the 1992 World Cup, making his One Day International debut against Australia at Sydney.","Hansie Cronje earned an international call up for the 1992 World Cup, making his One Day International debut against Australia at Sydney. If you would like to learn more about sydney, 1992 cricket world cup or hansie cronje, feel free to ask!",top_3,original,good to know the formation
184-2,Are there any other interesting aspects about the Hansie Cronje article besides his first-class debut?,"Hansie Cronje (former South-African Cricketer (1969-2002)) earned an international call up for the 1992 World Cup (Cricket World Cup), making his One Day International debut against Australia at Sydney (capital city of New South Wales, Australia).","Hansie Cronje earned an international call up for the 1992 World Cup, making his One Day International debut against Australia at Sydney.","Hansie Cronje earned an international call up for the 1992 World Cup, making his One Day International debut against Australia at Sydney. If you would like to learn more about sydney, 1992 cricket world cup or hansie cronje, feel free to ask!",top_3,prompt,it is looking like conversation based
78-1,What is the keto diet?,"The ketogenic diet is a high-fat, adequate-protein, low-carbohydrate diet that in medicine is used primarily to treat difficult-to-control epilepsy in children. The diet forces the body to burn fats rather than carbohydrates.","The ketogenic diet is a high-fat, adequate-protein, low-carbohydrate diet that in medicine is used primarily to treat difficult-to-control epilepsy in children. The diet forces the body to burn fats rather than carbohydrates (organic compound that consists only of carbon, hydrogen, and oxygen).","The ketogenic diet is a high-fat, adequate-protein, low-carbohydrate diet that in medicine is used primarily to treat difficult-to-control epilepsy in children. The diet forces the body to burn fats rather than carbohydrates. If you would like to learn more about carbohydrate, feel free to ask!",top_1,wikibase,its clear about the diet
78-1,What is the keto diet?,"The ketogenic diet is a high-fat, adequate-protein, low-carbohydrate diet that in medicine is used primarily to treat difficult-to-control epilepsy in children. The diet forces the body to burn fats rather than carbohydrates.","The ketogenic diet is a high-fat, adequate-protein, low-carbohydrate diet that in medicine is used primarily to treat difficult-to-control epilepsy in children. The diet forces the body to burn fats rather than carbohydrates (organic compound that consists only of carbon, hydrogen, and oxygen).","The ketogenic diet is a high-fat, adequate-protein, low-carbohydrate diet that in medicine is used primarily to treat difficult-to-control epilepsy in children. The diet forces the body to burn fats rather than carbohydrates. If you would like to learn more about carbohydrate, feel free to ask!",top_1,prompt,Sounds more professional and I dont like answer 3 saying feel free to ask
78-1,What is the keto diet?,"The ketogenic diet is a high-fat, adequate-protein, low-carbohydrate diet that in medicine is used primarily to treat difficult-to-control epilepsy in children. The diet forces the body to burn fats rather than carbohydrates.","The ketogenic diet is a high-fat, adequate-protein, low-carbohydrate diet that in medicine is used primarily to treat difficult-to-control epilepsy in children. The diet forces the body to burn fats rather than carbohydrates (organic compound that consists only of carbon, hydrogen, and oxygen).","The ketogenic diet is a high-fat, adequate-protein, low-carbohydrate diet that in medicine is used primarily to treat difficult-to-control epilepsy in children. The diet forces the body to burn fats rather than carbohydrates. If you would like to learn more about carbohydrate, feel free to ask!",top_1,original,"The ketogenic diet is a high-fat, adequate-protein, low-carbohydrate mainstream dietary therapy that in medicine is used mainly to treat hard-to-control ..."
1424-2,Did Tori Amos go on tour in 2010?,"After a brief tour from June to September 2010, Tori Amos (American singer-songwriter and pianist) released a live album.","After a brief tour from June to September 2010, Tori Amos released a live album. If you would like to learn more about tori amos, feel free to ask!","After a brief tour from June to September 2010, Tori Amos released a live album.",top_1,original,It is short and gives proper explaination too
1424-2,Did Tori Amos go on tour in 2010?,"After a brief tour from June to September 2010, Tori Amos (American singer-songwriter and pianist) released a live album.","After a brief tour from June to September 2010, Tori Amos released a live album. If you would like to learn more about tori amos, feel free to ask!","After a brief tour from June to September 2010, Tori Amos released a live album.",top_1,prompt,some incident are going
1424-2,Did Tori Amos go on tour in 2010?,"After a brief tour from June to September 2010, Tori Amos (American singer-songwriter and pianist) released a live album.","After a brief tour from June to September 2010, Tori Amos released a live album. If you would like to learn more about tori amos, feel free to ask!","After a brief tour from June to September 2010, Tori Amos released a live album.",top_1,prompt,invites you to ask for more information about it
2250-1,who introduced four c model of creativity,"James C. Kaufman and Beghetto introduced a four C model of creativity. If you would like to learn more about james c. kaufman or creativity, feel free to ask!",James C. Kaufman (American psychologist) and Beghetto introduced a four C model of creativity (cognitive process whereby something new and somehow valuable is formed).,James C. Kaufman and Beghetto introduced a four C model of creativity.,top_2,wikibase,Explains who and what the process was
2250-1,who introduced four c model of creativity,"James C. Kaufman and Beghetto introduced a four C model of creativity. If you would like to learn more about james c. kaufman or creativity, feel free to ask!",James C. Kaufman (American psychologist) and Beghetto introduced a four C model of creativity (cognitive process whereby something new and somehow valuable is formed).,James C. Kaufman and Beghetto introduced a four C model of creativity.,top_2,original,REASONABLE
2250-1,who introduced four c model of creativity,"James C. Kaufman and Beghetto introduced a four C model of creativity. If you would like to learn more about james c. kaufman or creativity, feel free to ask!",James C. Kaufman (American psychologist) and Beghetto introduced a four C model of creativity (cognitive process whereby something new and somehow valuable is formed).,James C. Kaufman and Beghetto introduced a four C model of creativity.,top_2,wikibase,there is an explanation of what the model is
62-1,What is the Surrealism movement in art?,"Surrealism is a cultural movement that started in 1917, and is best known for its visual artworks and writings. Artists painted unnerving, illogical scenes with photographic precision, created strange creatures from everyday objects, and developed painting techniques that allowed the unconscious to express itself.","Surrealism is a cultural movement (period and movement in cultural history) that started in 1917, and is best known for its visual artworks and writings (representation of language in a textual medium; tool developed by human society). Artists painted unnerving, illogical scenes with photographic precision, created strange creatures from everyday objects, and developed painting techniques that allowed the unconscious to express itself.","Surrealism is a cultural movement that started in 1917, and is best known for its visual artworks and writings. Artists painted unnerving, illogical scenes with photographic precision, created strange creatures from everyday objects, and developed painting techniques that allowed the unconscious to express itself. If you would like to learn more about writing or cultural movement, feel free to ask!",top_2,wikibase,"They're all sort of the same, but I feel this one goes out of its way to define other phrases that might not be understood otherwise (cultural movement and visual artworks), so it is the most comprehensive."
62-1,What is the Surrealism movement in art?,"Surrealism is a cultural movement that started in 1917, and is best known for its visual artworks and writings. Artists painted unnerving, illogical scenes with photographic precision, created strange creatures from everyday objects, and developed painting techniques that allowed the unconscious to express itself.","Surrealism is a cultural movement (period and movement in cultural history) that started in 1917, and is best known for its visual artworks and writings (representation of language in a textual medium; tool developed by human society). Artists painted unnerving, illogical scenes with photographic precision, created strange creatures from everyday objects, and developed painting techniques that allowed the unconscious to express itself.","Surrealism is a cultural movement that started in 1917, and is best known for its visual artworks and writings. Artists painted unnerving, illogical scenes with photographic precision, created strange creatures from everyday objects, and developed painting techniques that allowed the unconscious to express itself. If you would like to learn more about writing or cultural movement, feel free to ask!",top_2,prompt,It gives the most info without assuming the recipient isn't intelligent while encouraging them to engage further to ask for more details.
62-1,What is the Surrealism movement in art?,"Surrealism is a cultural movement that started in 1917, and is best known for its visual artworks and writings. Artists painted unnerving, illogical scenes with photographic precision, created strange creatures from everyday objects, and developed painting techniques that allowed the unconscious to express itself.","Surrealism is a cultural movement (period and movement in cultural history) that started in 1917, and is best known for its visual artworks and writings (representation of language in a textual medium; tool developed by human society). Artists painted unnerving, illogical scenes with photographic precision, created strange creatures from everyday objects, and developed painting techniques that allowed the unconscious to express itself.","Surrealism is a cultural movement that started in 1917, and is best known for its visual artworks and writings. Artists painted unnerving, illogical scenes with photographic precision, created strange creatures from everyday objects, and developed painting techniques that allowed the unconscious to express itself. If you would like to learn more about writing or cultural movement, feel free to ask!",top_2,original,I thought that the first one was the most common way that people usual describe surrealism and it's origins.
71-1,What are mammals?,"Mammals are vertebrate animals constituting the class Mammalia, and characterized by the presence of mammary glands which in females (sex of an organism that produces ova) produce milk for feeding their young, a neocortex (Mammalian structure involved in higher-order brain functions), fur or hair, and three middle ear bones (three bones in the human ear).","Mammals are vertebrate animals constituting the class Mammalia, and characterized by the presence of mammary glands which in females produce milk for feeding their young, a neocortex, fur or hair, and three middle ear bones. If you would like to learn more about ossicles, female or neocortex, feel free to ask!","Mammals are vertebrate animals constituting the class Mammalia, and characterized by the presence of mammary glands which in females produce milk for feeding their young, a neocortex, fur or hair, and three middle ear bones.",top_3,wikibase,I think this is the best answer and explains everything in an easy to understand way.
71-1,What are mammals?,"Mammals are vertebrate animals constituting the class Mammalia, and characterized by the presence of mammary glands which in females (sex of an organism that produces ova) produce milk for feeding their young, a neocortex (Mammalian structure involved in higher-order brain functions), fur or hair, and three middle ear bones (three bones in the human ear).","Mammals are vertebrate animals constituting the class Mammalia, and characterized by the presence of mammary glands which in females produce milk for feeding their young, a neocortex, fur or hair, and three middle ear bones. If you would like to learn more about ossicles, female or neocortex, feel free to ask!","Mammals are vertebrate animals constituting the class Mammalia, and characterized by the presence of mammary glands which in females produce milk for feeding their young, a neocortex, fur or hair, and three middle ear bones.",top_3,wikibase,REASONABLE
71-1,What are mammals?,"Mammals are vertebrate animals constituting the class Mammalia, and characterized by the presence of mammary glands which in females (sex of an organism that produces ova) produce milk for feeding their young, a neocortex (Mammalian structure involved in higher-order brain functions), fur or hair, and three middle ear bones (three bones in the human ear).","Mammals are vertebrate animals constituting the class Mammalia, and characterized by the presence of mammary glands which in females produce milk for feeding their young, a neocortex, fur or hair, and three middle ear bones. If you would like to learn more about ossicles, female or neocortex, feel free to ask!","Mammals are vertebrate animals constituting the class Mammalia, and characterized by the presence of mammary glands which in females produce milk for feeding their young, a neocortex, fur or hair, and three middle ear bones.",top_3,prompt,"Answer 2 is straight forward, it is not complex. The explanation is very easy to read and understand for someone who doesn't formerly know what mammals are. The answer also provide options for asking more questions if need be."
78-1,What is the keto diet?,"The ketogenic diet is a high-fat, adequate-protein, low-carbohydrate diet that in medicine is used primarily to treat difficult-to-control epilepsy in children. The diet forces the body to burn fats rather than carbohydrates.","The ketogenic diet is a high-fat, adequate-protein, low-carbohydrate diet that in medicine is used primarily to treat difficult-to-control epilepsy in children. The diet forces the body to burn fats rather than carbohydrates. If you would like to learn more about fat or carbohydrate, feel free to ask!","The ketogenic diet is a high-fat, adequate-protein, low-carbohydrate diet that in medicine is used primarily to treat difficult-to-control epilepsy in children. The diet forces the body to burn fats (esters of three fatty acid chains and the alcohol glycerol, one of the three main macronutrients, also known as triglycerides) rather than carbohydrates (organic compound that consists only of carbon, hydrogen, and oxygen).",top_2,original,I liked the simple straight forward answer as it answered the basic question without getting too technical.
78-1,What is the keto diet?,"The ketogenic diet is a high-fat, adequate-protein, low-carbohydrate diet that in medicine is used primarily to treat difficult-to-control epilepsy in children. The diet forces the body to burn fats rather than carbohydrates.","The ketogenic diet is a high-fat, adequate-protein, low-carbohydrate diet that in medicine is used primarily to treat difficult-to-control epilepsy in children. The diet forces the body to burn fats rather than carbohydrates. If you would like to learn more about fat or carbohydrate, feel free to ask!","The ketogenic diet is a high-fat, adequate-protein, low-carbohydrate diet that in medicine is used primarily to treat difficult-to-control epilepsy in children. The diet forces the body to burn fats (esters of three fatty acid chains and the alcohol glycerol, one of the three main macronutrients, also known as triglycerides) rather than carbohydrates (organic compound that consists only of carbon, hydrogen, and oxygen).",top_2,original,the ketogenic hignic crab is very healthy and diet and weight loss process.
78-1,What is the keto diet?,"The ketogenic diet is a high-fat, adequate-protein, low-carbohydrate diet that in medicine is used primarily to treat difficult-to-control epilepsy in children. The diet forces the body to burn fats rather than carbohydrates.","The ketogenic diet is a high-fat, adequate-protein, low-carbohydrate diet that in medicine is used primarily to treat difficult-to-control epilepsy in children. The diet forces the body to burn fats rather than carbohydrates. If you would like to learn more about fat or carbohydrate, feel free to ask!","The ketogenic diet is a high-fat, adequate-protein, low-carbohydrate diet that in medicine is used primarily to treat difficult-to-control epilepsy in children. The diet forces the body to burn fats (esters of three fatty acid chains and the alcohol glycerol, one of the three main macronutrients, also known as triglycerides) rather than carbohydrates (organic compound that consists only of carbon, hydrogen, and oxygen).",top_2,original,Its a high fat to correct answer
70-3,Why is solar energy important?,"Solar is a safe alternative which can replace current fossil fuels like coal and gas for generation of electricity that produce air, water, and land pollution. ... Use of solar energy will eliminate these unsafe, unclean consequences from using conventional fossil fuels. If you would like to learn more about natural gas, feel free to ask!","Solar is a safe alternative which can replace current fossil fuels like coal and gas (fossil fuel) for generation of electricity that produce air, water, and land pollution. ... Use of solar energy will eliminate these unsafe, unclean consequences from using conventional fossil fuels.","Solar is a safe alternative which can replace current fossil fuels like coal and gas for generation of electricity that produce air, water, and land pollution. ... Use of solar energy will eliminate these unsafe, unclean consequences from using conventional fossil fuels.",top_1,prompt,There is a question that furthers the conversation if needed.
70-3,Why is solar energy important?,"Solar is a safe alternative which can replace current fossil fuels like coal and gas for generation of electricity that produce air, water, and land pollution. ... Use of solar energy will eliminate these unsafe, unclean consequences from using conventional fossil fuels. If you would like to learn more about natural gas, feel free to ask!","Solar is a safe alternative which can replace current fossil fuels like coal and gas (fossil fuel) for generation of electricity that produce air, water, and land pollution. ... Use of solar energy will eliminate these unsafe, unclean consequences from using conventional fossil fuels.","Solar is a safe alternative which can replace current fossil fuels like coal and gas for generation of electricity that produce air, water, and land pollution. ... Use of solar energy will eliminate these unsafe, unclean consequences from using conventional fossil fuels.",top_1,prompt,"I choose 1, because I want to learn more about solar energy."
